title mz rt nPeptides
qExactive01819.10273.10273.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D10273%22 890.890756109705 40.946301 42262
qExactive01819.9517.9517.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9517%22 582.315107191582 37.506814999999996 4335
qExactive01819.9429.9429.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9429%22 882.405563635584 37.098157 44479
qExactive01819.7155.7155.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7155%22 585.276491022279 29.077582 14608
qExactive01819.9107.9107.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9107%22 865.915941651464 35.593359 19173
qExactive01819.10468.10468.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D10468%22 987.401425936391 41.817471 101162
qExactive01819.6945.6945.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6945%22 910.488561540124 28.561657 4692
qExactive01819.5295.5295.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5295%22 588.266413584268 23.797853 16333
qExactive01819.7591.7591.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7591%22 834.383811275847 30.250321 37847
qExactive01819.7223.7223.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7223%22 787.409378222645 29.242514000000003 7899
qExactive01819.7109.7109.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7109%22 993.462186568678 28.980285 57885
qExactive01819.8127.8127.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8127%22 677.343659652646 31.831588 10079
qExactive01819.10211.10211.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D10211%22 1035.426934413193 40.673255000000005 115716
qExactive01819.9927.9927.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9927%22 699.372955414754 39.388211999999996 5115
qExactive01819.4241.4241.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4241%22 799.875996754914 19.805956 20825
qExactive01819.8700.8700.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8700%22 770.901562992637 33.926844 5845
qExactive01819.9060.9060.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9060%22 846.403225717141 35.387999 29465
qExactive01819.5468.5468.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5468%22 572.34081395768 24.308403 978
qExactive01819.8414.8414.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8414%22 695.378367028137 32.807793 3859
qExactive01819.4277.4277.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4277%22 642.357168984114 19.96847 2495
qExactive01819.5754.5754.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5754%22 822.408500353289 25.203899999999997 16462
qExactive01819.8850.8850.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8850%22 882.404406585943 34.492662 45503
qExactive01819.8284.8284.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8284%22 773.901392733399 32.382540999999996 6791
qExactive01819.7607.7607.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7607%22 1032.995631640377 30.293411 37561
qExactive01819.10508.10508.+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D10508%22 520.139526367188 41.990226 516
qExactive01819.6597.6597.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6597%22 999.970039344698 27.498659 39118
qExactive01819.3956.3956.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D3956%22 570.625463586558 18.554909000000002 2797
qExactive01819.10364.10364.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D10364%22 555.795379549913 41.370212 3794
qExactive01819.6530.6530.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6530%22 728.359910372589 27.321929 15140
qExactive01819.5679.5679.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5679%22 596.304676930927 24.945305 8220
qExactive01819.9444.9444.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9444%22 985.045111167526 37.165633 21170
qExactive01819.5138.5138.4+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5138%22 644.055947735238 23.265207 8958
qExactive01819.6486.6486.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6486%22 855.717670336884 27.201883000000002 12859
qExactive01819.8782.8782.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8782%22 669.824919569527 34.241924000000004 10743
qExactive01819.8809.8809.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8809%22 867.423542352746 34.331669000000005 22466
qExactive01819.8767.8767.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8767%22 689.378327538019 34.191905 3276
qExactive01819.4775.4775.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4775%22 745.857830203315 22.016918999999998 14858
qExactive01819.9065.9065.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9065%22 756.94307752052 35.411564 6317
qExactive01819.6037.6037.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6037%22 986.517074420692 26.026785 7286
qExactive01819.9958.9958.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9958%22 771.849199801376 39.541305 24822
qExactive01819.8855.8855.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D8855%22 914.459246141525 34.512429 16019
qExactive01819.4292.4292.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D4292%22 709.381582832327 20.024956999999997 4467
qExactive01819.5827.5827.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5827%22 867.91114946561 25.456643999999997 25320
qExactive01819.10242.10242.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D10242%22 921.960906306288 40.821011 19188
qExactive01819.6367.6367.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D6367%22 609.984568400747 26.88518 9977
qExactive01819.5395.5395.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5395%22 942.916549429933 24.108591999999998 59560
qExactive01819.7228.7228.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7228%22 688.359529186117 29.254194 7209
qExactive01819.7075.7075.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D7075%22 515.614408523311 28.890647 1447
qExactive01819.5401.5401.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D5401%22 673.825660255365 24.125228 10301
qExactive01819.9401.9401.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9401%22 685.993019819802 36.964162 15988
qExactive01819.9475.9475.2+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9475%22 1083.553081438987 37.314238 15358
qExactive01819.9827.9827.3+File%3A%22qExactive01819.raw%22%2C+NativeID%3A%22controllerType%3D0+controllerNumber%3D1+scan%3D9827%22 850.728566679492 38.931828 11229
